Oil_Price,Imports,Production,GDP,SP500,Stock_value,Treasury_note, Y_n_1
0.723752793,1.587789814,-0.909658356,0.352770019,-0.494684673,0.763490099,0.427639853,0.679792447
0.677874456,0.951650157,-1.096830036,0.334101654,-0.474256371,0.752085937,0.356102681,0.458934326
0.456675331,1.125776762,-1.008859087,0.339435473,-0.472279439,0.722767803,0.201105476,0.424251421
0.421938876,0.514273853,-1.396532951,0.294098014,-0.472279439,0.70221472,0.10572258,0.550549546
0.548432005,1.139777973,-0.992312664,0.288764196,-0.454487047,0.681245777,0.016301116,0.351613639
0.349188941,1.331621496,-1.040292103,0.264762012,-0.454487047,0.698615931,0.04014684,0.315949142
0.313469379,1.276855218,-1.271682671,0.230092191,-0.458440912,0.715986086,0.081876856,0.444864845
0.442584127,0.870254653,-1.388596893,0.214090735,-0.482823078,0.709716196,0.04014684,0.553821519
0.551709029,0.382877868,-1.77199151,0.200756188,-0.43010488,0.844406867,-0.108888935,0.534189686
0.532046885,1.671958635,-0.871119196,0.19275546,-0.41165351,0.957440827,-0.07908178,0.338198553
0.335753142,1.649637473,-0.827004047,0.174087095,-0.393202141,0.926811135,-0.126773228,0.25149129
0.248912004,1.683455784,-0.816396701,0.150084911,-0.393202141,0.888216124,-0.234078985,0.038158705
0.035250035,1.69549144,-0.551135242,0.11541509,-0.397814983,0.848869365,-0.150618952,0.141225828
0.138476293,1.246752614,-0.72246074,0.11541509,-0.391884186,0.815952443,-0.031390332,0.180816691
0.178128284,1.536550765,-0.54763404,0.096746725,-0.337848032,0.756292521,0.063992563,-0.016810427
-0.01980397,0.691819984,-1.055645523,0.07807836,-0.32005564,0.658133555,-0.132734659,-0.059673263
-0.062732985,1.332025377,-0.671991558,0.07807836,-0.32796337,0.620658167,-0.102927504,-0.180409036
-0.183655174,1.41869826,-0.620536852,0.032740902,-0.295673474,0.555560075,-0.102927504,-0.006340117
-0.009317493,1.258061285,-0.831023946,0.014072536,-0.324009505,0.510199341,-0.114850366,0.151041745
0.148307365,1.636847905,-0.894019652,0.006071808,-0.376727704,0.471140486,-0.180426106,-0.089121012
-0.092226202,0.82103501,-1.096985645,-0.028598013,-0.370137929,0.470308766,-0.156580383,-0.123149523
-0.126307252,1.718593439,-0.76948059,-0.036598741,-0.391225208,0.450011597,-0.067158918,-0.257954776
-0.261320644,1.583831779,-0.641388456,-0.03926565,-0.359594289,0.396669548,0.058031133,-0.347934011
-0.351438806,1.495947252,-0.843757948,-0.081936199,-0.316101776,0.344079247,0.201105476,-0.274314637
-0.277705765,1.711969789,-0.583709391,-0.068601652,-0.318078708,0.32746084,0.195144045,-0.389815255
-0.393384714,1.158141101,-0.724405853,-0.103271473,-0.246250162,0.277445672,-0.013506039,-0.390142452
-0.393712417,1.408439681,-0.534951907,-0.105938383,-0.220550041,0.180310362,-0.341384743,-0.457217881
-0.46089141,0.262736704,-0.859967218,-0.132607476,-0.165195932,0.095922761,-0.186387537,-0.469651375
-0.473344102,0.789774613,-0.560445847,-0.167277297,-0.14740354,0.004641481,-0.144657521,-0.540980369
-0.544783227,1.07098356,-0.571260672,-0.167277297,-0.184306279,-0.039631619,-0.07908178,-0.574354485
-0.578208872,0.541199259,-0.735116938,-0.175278025,-0.119726486,-0.116229841,-0.055236056,-0.599548671
-0.603441958,1.387195535,-0.537415716,-0.199280209,-0.014290089,-0.159863157,-0.049274625,-0.665969706
-0.669965546,1.297399304,-0.686540998,-0.207280937,0.095759151,-0.263956125,-0.073120349,-0.559303413
