Oil_Price,Imports,Production,GDP,SP500,Stock_value,Treasury_note, Y_n_1,Y_n_2
1.228064963,0.441969733,-0.513988894,0.837734051,-0.735279389,0.885837875,-1.258525161,1.588027304,1.554439152
1.587530263,0.728890507,-0.688584591,0.810993582,-0.61554223,1.234061667,-0.833489838,1.554001899,1.706012811
1.553451511,0.443165576,-0.712563956,0.776230971,-0.632647538,1.367148162,-0.827503425,1.705807552,1.98792675
1.705495175,0.54617114,-0.541001325,0.789601206,-0.581989509,1.367324203,-0.725734404,1.988152982,1.770039615
1.988283284,0.120206444,-0.73255108,0.7949493,-0.576068441,1.367324203,-0.55811484,1.769932354,1.303558613
1.769720516,0.650454081,-0.541986423,0.770882877,-0.587252681,1.367324203,-0.582060492,1.302737368,1.322831987
1.301793032,-0.858944332,-1.131645476,0.70670575,-0.55567365,1.367324203,-0.480291471,1.322040242,1.322178653
1.321126171,0.650481259,-0.638629742,0.704031703,-0.570147373,1.367340206,-0.594033318,1.321385908,1.162111642
1.32047081,0.239410244,-0.549348736,0.741468361,-0.586594785,1.367372214,-0.641924622,1.161073903,1.085018143
1.159907458,0.00603062,-0.720548436,0.714727891,-0.597779025,1.367404221,-0.965190924,1.083862406,0.867784343
1.082574905,0.108220836,-0.530009702,0.722750032,-0.596463232,1.367452232,-1.102878423,0.866296114,0.912211105
0.864667498,0.438083243,-0.683425788,0.696009563,-0.61554223,1.366860096,-1.03702788,0.910790874,0.903064419
0.90923202,0.953763339,-0.673834042,0.674617187,-0.62475278,1.367948346,-1.007095815,0.901630188,0.871051017
0.900056971,1.281451487,-0.78885722,0.669269093,-0.608305368,1.368028364,-0.821517012,0.869567787,0.818784238
0.867944301,1.007494738,-0.861417481,0.650550764,-0.58001582,1.368108382,-0.707775165,0.81722101,1.163418311
0.815515451,1.047990328,-0.715000778,0.631832436,-0.504357725,1.368156393,-0.576074079,1.162382572,1.062478095
1.161218179,0.843120688,-0.860717543,0.621136248,-0.391857427,1.368236412,-0.31865832,1.061287859,0.90535109
1.059964963,0.783763392,-0.623671804,0.605091966,-0.398436392,1.36831643,-0.390495276,0.90392036,0.96872456
0.902350734,-0.419689472,-1.019836828,0.570329356,-0.398436392,1.368380445,-0.414440928,0.967390827,0.842630955
0.965920714,0.068078562,-0.713574978,0.559633168,-0.280672922,1.368444459,-0.390495276,0.841104227,0.957617869
