Oil_Price,Imports,Production,GDP,SP500,Stock_value,Treasury_note, Y_n_1,Y_n_2,Y_n_3
-0.256423421,0.092091688,-0.94051051,0.494117956,2.234020938,0.968461487,-1.185370495,0.276442974,0.909252797,1.807871281
0.273988224,0.110850535,-1.096440615,0.566511945,0.658324672,0.968541552,-0.506154032,0.907830473,1.807502374,2.217490141
0.906288702,0.15354964,-1.235200539,0.558468169,0.147980362,0.968589592,-0.331841842,1.807475874,2.217757453,2.762126684
1.807234979,-0.022585652,-1.953344005,0.598687052,0.099376142,0.97826146,-0.409981789,2.218368464,2.763239923,2.778759296
2.218721715,0.175439912,-1.026620392,0.620137122,0.122364625,1.054755691,-0.295777251,2.76469858,2.77989837,2.50220134
2.765841818,0.15774171,-0.883639141,0.636224675,0.026469812,1.05480373,-0.217637304,2.781382913,2.502910864,2.084103108
2.782550276,0.117443167,-1.048840626,0.660356005,0.075074032,1.034627315,-0.163540418,2.503964986,2.084163243,1.851572656
2.504731206,0.114638551,-0.908656328,0.590643275,0.055369619,1.007373143,-0.295777251,2.084566657,1.851271626,1.523486212
2.084726432,0.114011671,-1.018721591,0.57991824,-0.071395442,0.962776863,-0.415992554,1.851313141,1.522675599,1.444562833
1.851135634,0.112047845,-0.869991049,0.569193204,-0.207355895,0.945226585,-0.518175562,1.522206496,1.443629636,1.402818235
1.521553105,0.054787906,-1.177396853,0.547743133,-0.211953591,0.920406393,-0.379927963,1.443037701,1.401820201,1.503266173
1.442269833,0.153118846,-0.932093755,0.596005793,-0.230344377,0.912832231,-0.379927963,1.401163297,1.502424154,1.210727862
1.400334879,0.130343217,-0.935589945,0.593324534,-0.17188795,0.890285889,-0.163540418,1.501923581,1.209431474,1.018963619
1.501240862,0.116216148,-1.127388377,0.577236981,-0.273037273,0.867259156,-0.139497357,1.208475609,1.017369382,0.772409591
1.207368567,0.125729266,-1.006730952,0.55578691,-0.281575852,0.845257257,0.094922484,1.016115065,0.770432408,0.829808412
1.014729872,0.143207615,-1.229943304,0.571874463,-0.388636499,0.824023983,0.088911719,0.768794366,0.827920381,0.613584444
0.76705155,0.17471499,-1.04868524,0.550424392,-0.456288319,0.78613716,0.179073197,0.826371672,0.611360574,0.482154188
0.824712112,0.139998943,-0.993911586,0.512886768,-0.43395665,0.783462985,0.377428447,0.609475344,0.479726181,0.499112931
0.607502155,0.117172807,-1.095456502,0.512886768,-0.46876778,0.783462985,0.443546864,0.4776364,0.496711264,0.383663029
0.475472573,0.17579346,-0.854763196,0.507524251,-0.462856456,0.783462985,0.227159318,0.494647877,0.381082046,0.345831988
0.492508648,0.130179812,-1.013801026,0.496799215,-0.491756263,0.769403547,0.191094727,0.378838978,0.343192246,0.190268137
0.376532291,0.180585671,-0.928597564,0.459261591,-0.528537835,0.756753256,0.11295478,0.340890299,0.187386774,0.433234738
0.338528739,-0.026026061,-1.327318689,0.472667886,-0.491099449,0.756785282,0.209127022,0.184842715,0.43073075,0.339309395
0.182255512,0.165008758,-0.937791251,0.432449003,-0.499638028,0.756801295,0.233170083,0.428564833,0.336659522,0.333112931
0.426330049,0.104641161,-0.874963409,0.421723967,-0.498324401,0.756801295,0.118965545,0.334347423,0.330453434,0.493242597
0.331976403,0.105853326,-1.103950951,0.41636145,-0.507519794,0.756801295,0.13699784,0.328131691,0.490831813,0.794586408
0.325751683,0.155305496,-0.937506376,0.39223012,-0.514087932,0.756801295,0.215137787,0.488759288,0.79264367,0.839266173
0.486611545,0.179150682,-1.129848659,0.384186343,-0.538390042,0.74450329,0.209127022,0.791040143,0.837392831,0.726425308
0.789329494,0.197505474,-0.992435416,0.370780049,-0.544958179,0.744551329,0.2992885,0.835858841,0.724376702,0.722837882
0.834213,0.166720049,-0.948745981,0.34664872,-0.548899062,0.744631394,0.431525333,0.722667093,0.720783704,0.677179729
0.720857577,0.179361622,-1.027345528,0.349329978,-0.535105973,0.74466342,0.443546864,0.719068511,0.675054635,0.457042204
0.717253792,0.173511738,-0.903476786,0.343967461,-0.49306989,0.756721229,0.443546864,0.673268382,0.454575193,0.422472459
0.671387436,0.103319069,-1.090380551,0.325198649,-0.472708663,0.745303941,0.371417682,0.452446329,0.419951755,0.54835851
0.450246077,0.122532478,-1.002535523,0.330561166,-0.470738222,0.715952062,0.215137787,0.417769088,0.546033332,0.350071674
0.415518694,0.055058267,-1.389654475,0.284979766,-0.470738222,0.695375323,0.118965545,0.544046588,0.347438516,0.31452354
0.541978789,0.124077394,-0.986012784,0.279617248,-0.45300425,0.674382244,0.028804068,0.345143168,0.31183517,0.443018628
0.342787758,0.145245715,-1.033923546,0.255485919,-0.45300425,0.691772391,0.052847128,0.309484496,0.440529836,0.551619807
0.307077524,0.139202717,-1.264982904,0.220629554,-0.456945132,0.709162539,0.094922484,0.438379146,0.549299694,0.532052027
0.436158554,0.094337759,-1.381729776,0.204542001,-0.481247242,0.702885432,0.052847128,0.547318025,0.529701521,0.336700357
0.545254958,0.040559823,-1.764575606,0.191135706,-0.42870214,0.837731134,-0.097422001,0.527689399,0.334046432,0.250275996
0.525597948,0.182799061,-0.864992791,0.18309193,-0.410311354,0.950895197,-0.067368175,0.331730273,0.247487836,0.037639453
0.329355468,0.180336108,-0.820940788,0.164323118,-0.391920568,0.92023025,-0.115454296,0.245037171,0.034521028,0.140370298
0.242537008,0.184067675,-0.810348625,0.140191788,-0.391920568,0.881590815,-0.223648069,0.031739425,0.137411434,0.179831988
0.028930837,0.185395708,-0.545466859,0.105335423,-0.396518264,0.842198768,-0.139497357,0.134789716,0.176934415,-0.01715033
0.132130137,0.135881147,-0.716547124,0.105335423,-0.39060694,0.809243958,-0.019282054,0.174374114,-0.020353856,-0.059873317
0.171771774,0.167857939,-0.541970669,0.086566611,-0.33674821,0.749515367,0.076890189,-0.02322073,-0.063143199,-0.180215163
-0.02610879,0.074648991,-1.049254989,0.067797799,-0.319014238,0.65124342,-0.121465061,-0.066076566,-0.18367196,-0.006714181
-0.069026595,0.14529028,-0.666150182,0.067797799,-0.326896003,0.613724897,-0.091411236,-0.186792621,-0.009901497,0.150154188
-0.189917204,0.154853905,-0.614769128,0.022216399,-0.294712128,0.548551877,-0.091411236,-0.012752129,0.14721052,-0.089224987
-0.015625052,0.137128964,-0.824954933,0.003447587,-0.322955121,0.503138932,-0.103432766,0.14460403,-0.092540458,-0.123142472
0.141958642,0.178924887,-0.887860468,-0.00459619,-0.375500223,0.464035119,-0.169551183,-0.095519506,-0.126510624,-0.257507894
-0.098512109,0.088906784,-1.090535937,-0.039452555,-0.368932085,0.463202442,-0.145508122,-0.12954246,-0.261084742,-0.347193552
-0.13258426,0.18794482,-0.76349967,-0.047496331,-0.389950126,0.442881911,-0.055346645,-0.264325698,-0.3509097,-0.273814378
-0.267562393,0.173075002,-0.635590886,-0.05017759,-0.358423065,0.389478465,0.070879424,-0.354290238,-0.277416553,-0.38893815
-0.35765702,0.163377683,-0.837670708,-0.093077732,-0.315073355,0.336827632,0.215137787,-0.280682887,-0.392719135,-0.389264279
-0.283943234,0.187213956,-0.577994382,-0.079671438,-0.317043796,0.320190097,0.209127022,-0.396164642,-0.393045771,-0.456120861
-0.399591974,0.126103611,-0.718489452,-0.114527803,-0.245451094,0.270117361,-0.001249758,-0.396491786,-0.460006194,-0.468513788
-0.399919591,0.153721957,-0.529306689,-0.117209062,-0.219835357,0.172870247,-0.331841842,-0.463556261,-0.47241837,-0.539610055
-0.467081041,0.027303255,-0.853856776,-0.14402165,-0.164662999,0.088385516,-0.175561948,-0.475987725,-0.543625063,-0.572875281
-0.47953048,0.085457462,-0.554764137,-0.178878015,-0.146929027,-0.00300083,-0.133486592,-0.547305069,-0.576941957,-0.597987266
-0.550950949,0.116486508,-0.565563481,-0.178878015,-0.183710598,-0.047324889,-0.067368175,-0.580673735,-0.602092945,-0.664191588
-0.584367865,0.058029259,-0.729185206,-0.186921792,-0.119342848,-0.124011276,-0.043325114,-0.605863806,-0.668400096,-0.557873317
-0.609594361,0.151377844,-0.531766971,-0.211053121,-0.014252642,-0.167694814,-0.037314349,-0.672273994,-0.561916691,-0.58428982
-0.676100577,0.141469584,-0.680678797,-0.219096898,0.095435259,-0.271907595,-0.06135741,-0.565625121,-0.588374224,-0.587551116
-0.569297491,0.147678958,-0.563698846,-0.245909486,0.105287466,-0.368994578,0.046836363,-0.592123767,-0.591640586,-0.670714181
-0.595834454,0.148736632,-0.624169996,-0.270040816,0.176223355,-0.463359347,-0.229658834,-0.595395205,-0.67493282,-0.668757403
-0.599110623,0.119294096,-0.641780438,-0.288809628,0.238620664,-0.52526571,-0.626369335,-0.67881687,-0.672973002,-0.494604162
-0.682652914,0.159690681,-0.491677318,-0.323665993,0.214975368,-0.612136382,-0.494132501,-0.676854007,-0.498549267,-0.418942079
-0.680687213,0.109442285,-0.589933225,-0.323665993,0.202495906,-0.668678381,-0.24769113,-0.502159227,-0.422769666,-0.512867423
-0.505739827,0.074262762,-0.379307159,-0.345116064,0.193957327,-0.674090784,-0.337852607,-0.42626187,-0.516840894,-0.626686676
-0.429732723,-0.070472109,-0.845129248,-0.339753546,0.229425271,-0.674090784,-0.283755721,-0.520479279,-0.630836931,-0.728113002
-0.524086369,0.019682659,-0.418024234,-0.366566135,0.424498965,-0.674090784,-0.193594243,-0.634652459,-0.732420793,-0.646906716
-0.638424642,0.029635484,-0.444957851,-0.366566135,0.500689364,-0.676588817,-0.205615774,-0.736394175,-0.651088376,-0.620164083
-0.740313476,0.085044494,-0.669387396,-0.385334947,0.463907792,-0.727702399,-0.193594243,-0.654935374,-0.624304207,-0.661582551
-0.658736885,0.102445597,-0.736747337,-0.4014225,0.280656746,-0.828216171,-0.253701895,-0.628109583,-0.665787006,-0.707892963
-0.631872305,0.008648393,-0.834355801,-0.398741241,0.257668264,-0.866583384,-0.301788016,-0.669656844,-0.712169348,-0.755181765
-0.673479643,0.103616168,-0.385444916,-0.409466276,0.431067103,-0.946088063,-0.07337894,-0.716111261,-0.759531598,-0.705610055
-0.720001232,0.070442066,-0.42157222,-0.398741241,0.492150785,-1.006088876,0.161040901,-0.763547109,-0.709882894,-0.733657207
-0.767505672,0.055616813,-0.466711927,-0.417510053,0.85077111,-1.039123751,0.335353091,-0.713821254,-0.737973608,-0.787468602
-0.717707914,0.083270812,-0.297729376,-0.436278865,1.079999121,-1.122295414,0.479611455,-0.74195562,-0.791868583,-0.911724004
-0.745882962,0.053554944,-0.49776328,-0.436278865,1.237634429,-1.194594232,0.49764375,-0.795934344,-0.916316979,-0.944336971
-0.799939738,0.035007038,-0.313190309,-0.4470039,1.428110426,-1.278758702,0.557751402,-0.920576125,-0.9489806,-0.95509925
-0.92476175,-0.047250832,-0.77401414,-0.465772712,1.287552276,-1.303338699,0.32333156,-0.953290503,-0.959759595,-0.946946008
-0.957523432,0.026640723,-0.323135029,-0.455047677,1.392642482,-1.389072446,0.401471507,-0.964086248,-0.951593689,-0.864435203
-0.968334788,0.038688098,-0.311869525,-0.468453971,1.405778757,-1.458825192,0.431525333,-0.955907653,-0.868954728,-0.733004947
-0.960144367,0.05524841,-0.469068618,-0.511354112,1.225154967,-1.505519179,0.179073197,-0.873140276,-0.737320336,-0.694847776
-0.87725731,0.072887193,-0.425353286,-0.497947818,0.968997591,-1.539402745,0.118965545,-0.741301332,-0.699103899,-0.725503965
-0.745227728,0.056995354,-0.602985671,-0.530122924,0.783776104,-1.546592594,0.215137787,-0.703025509,-0.729807703,-0.687346794
-0.706896559,0.088749322,-0.441953717,-0.484541524,0.846173414,-1.56302196,0.359396151,-0.733777025,-0.691591266,-0.653755439
-0.737692541,0.104367829,-0.423307367,-0.511354112,0.68919492,-1.56302196,0.521686811,-0.695501202,-0.657947737,-0.69093422
-0.699361372,0.036133044,-0.558855975,-0.511354112,0.571625252,-1.570452005,0.545729871,-0.661805393,-0.695184265,-0.698761332
-0.665616839,0.135037385,-0.358459504,-0.497947818,0.463250978,-1.570452005,0.617859053,-0.699099784,-0.703023534,-0.621794731
-0.702965157,0.125738179,-0.48362313,-0.519397889,0.196584582,-1.585183989,0.461579159,-0.706951235,-0.625937388,-0.622446991
-0.710827961,0.108990694,-0.317592919,-0.54084796,0.074417218,-1.586144771,0.31131003,-0.629745302,-0.626590661,-0.659951902
-0.63351039,-0.059277409,-0.847123372,-0.546210478,0.186732375,-1.595960757,0.437536098,-0.63039959,-0.664153825,-0.464926362
-0.634165623,0.047277237,-0.382932838,-0.543529219,0.169655217,-1.595992783,0.473600689,-0.668021125,-0.468825371,-0.507649348
-0.671841558,0.074619281,-0.337844927,-0.556935513,0.108571535,-1.611957771,0.515676045,-0.472389143,-0.511614715,-0.482537364
-0.475926695,0.018981505,-0.506905171,-0.551572995,0.126962321,-1.502620822,0.810203538,-0.515244979,-0.486463727,-0.567983336
-0.5188445,0.05066714,-0.374826856,-0.551572995,0.10068977,-1.230543477,0.822225069,-0.490054907,-0.572042414,-0.618859564
-0.493618004,0.069907287,-0.565149118,-0.567660548,0.155862128,-1.136883282,0.864300425,-0.575766578,-0.622997662,-0.549720075
-0.579453613,0.139948436,-0.391116514,-0.578385584,0.197241396,-1.120566007,0.87031119,-0.626801008,-0.553750786,-0.648537364
-0.630561838,0.090163514,-0.430765907,-0.607879431,0.202495906,-1.136803217,1.008558789,-0.557446526,-0.652721557,-0.748659171
-0.561107071,0.074280588,-0.514519097,-0.594473137,0.209720858,-1.16015021,1.032601849,-0.656571092,-0.752998874,-0.614293749
-0.660374969,0.061270612,-0.344733718,-0.61056069,0.165714334,-1.151823436,1.248989395,-0.757004234,-0.618424755,-0.629621843
-0.760953336,0.057132019,-0.490201149,-0.613241949,0.232052526,-1.151823436,0.972494198,-0.622220995,-0.633776657,-0.698435203
-0.625975203,0.034181102,-0.287189009,-0.650779573,0.219573065,-1.151823436,1.128774092,-0.637596753,-0.702696898,-0.736266244
